id,sentence,label
1310_1,asking microsoft gives permission like andros app take data keep restricted like phone,1
1312_1,somewhere andros phone,0
1313_1,windows store flag app requires trust example,0
1313_2,many thanks same know lot limitations due high security good time need allow apes extra works apes trust hotmail app facebook app type pp,0
1313_3,idea develop regular app request permission manifest app ask trust,1
1316_1,please add simple extremely helpful feature,1
1318_2,let several pages put times name whatever want,1
1319_1,idea user running app reason reported phone case report happen event detect phone reported handle application accordingly,1
1319_2,add support geometric framework windows allow hardware manufactures add fingerprint sensory device login login allows standard user guestkid mode wallet transaction motivation,1
1319_6,would natural allow physical search key activate search function active application rather loading being rarely goal,1
1319_7,allow platform built camera video apes use increase decrease volume hardware keys picture optical digital room camera,1
1319_8,add optional support hook hardware keys press events lens plain featureshardware keys include vol vol stage light press camera shutter stage deep press camera shutter,1
1319_9,believe needs marking system like option marking several email pop mails,1
1319_10,intend delete several filesphotos songs easier way,1
1319_12,put apes one older put startscreen like tile,1
1320_1,total uncomfortable think give user choose want bind search button,0
1321_1,would awesome,0
1321_2,make enter password apes choice,1
1324_1,big files cannot transferred using skydrive particle,0
1325_3,would improvement displayed graphics smiles instead,1
1328_1,usercontrol run context application created alarm reminder would access appropriate view models,1
1328_3,need option remove unused variable file factories,1
1329_1,use us removable disk,1
1329_2,pus introduce pattern lockscreen like andros,1
1330_4,repairing installation emulation work,0
1330_5,close emulation try run,0
1330_6,fails uninformative message indicating employment failed,0
1330_7,information screen locked temperature news facebook twitter lock letters numbers,0
1330_8,search text,0
1330_9,wish axis save photo camera roll pig format loss peg format,1
1330_10,native access open amp support would nice especially newer hardware arriving,1
1330_11,please help armed ran anna get arabic keyboard please,0
1330_12,application problems problem detected advance developer publication correction version client without knowing happening,0
1330_13,way give satisfaction buy evaluate applications,0
1330_14,communication channel use being translator generate statement languages application translated,1
1330_15,believe feature cherish microsoft customers demonstrates respect consumer,0
1330_16,cases missing answer key clock phone locked also missing call alert network enabledisable network code verify enable disabled,0
1330_24,asking key act like screenshotcapture command without change tabes emulation window release accelerometer,1
1330_25,even something simple curls would godson,1
1331_1,lucky character dies even though player moving straight line nowhere,1
1332_1,please allow users view comments office docs word put excelalso allow user add comments docs,1
1335_1,provide single link retrieve applications specific publisher like andros market,1
1336_2,please show scrollbars webbrowser control,1
1337_2,times greatly needed,0
1337_3,smartphone platforms like andros is blackberry supports launching one app another passing data,0
1338_1,really important organisation develops multiple apes wants interact,0
1338_2,feature implements without affecting security model great developer world,0
1338_3,keep getting birthday modifications day early,0
1339_1,date peoplehub align calendar,0
1339_2,unique ability offer trails paid apes great,0
1342_1,however would nice developer could offer free apes possibility users voluntary donations,1
1342_2,des workaround offer paid app trial version restrictions user click buy essentially donate de,0
1342_3,however workaround disadvantage app appearing free category though actually free,0
1343_1,therefore would great des could put apes marketplace offering two buttons install free install donate,1
1343_3,price could splitter like paid apes difference app appearing free category,1
1344_2,current process lengthy costly non developer,0
1344_3,cannot microsoft simplify,0
1345_1,make similar goose,1
1346_1,read cumbersome process incline build free apes subscription rather getting money marketplace,0
1348_1,deal physical paperwork sending back forth step backwards living digital world,0
1348_2,heaps heaps really good developer outside really want contribute making windows phone preferred choice please microsoft make simpler make digital,1
1348_4,would really helpful example developer makes app takes advantage schedule alarm apt would like enable user select custom ringtone alarm,1
1349_1,apt proposal would enable user select many ringtones already available phone save developer trouble implement custom ringtones,0
1350_1,try copypaste multiple recipient number box essaying last number duplicates,0
1353_3,even developer create apes individual users standalone,0
1353_4,need target corporate would need axis device management also like june single user would need enterprise server application control devices employees remote apply corporate policies device well,1
1353_5,make useful app run used code,1
1353_6,please allow access mails too list son goose account added windows phone,1
1353_7,calendar see too list hotmail like would great add mails ones ability make changes son happens ability add too items get son phone,1
1353_8,biggest icon size required bit marketplace single app page resided losing quality,0
1353_9,cannot addupdatedelete alarms reminders backgroundagent,0
1353_10,it great least ability changeedit reminders alarms created pp,1
1356_2,want get response app handle,0
1357_2,would useful able change names apes appear check app hut dashboard,1
1358_5,developer must given additional enumeration values socketype protocoltype create variety sockets like raw sockets based imp imp etc,1
1358_6,allow create alert reminder background task execution,1
1358_13,allow orientationhorizontal listbox would like use selectionchanged event handle create menu using listbox control,1
1359_6,heading says provide tools prevent users reinstating apes rather buy full version stop des deprived purchases deserve,1
1361_2,half point app information live tile like polite reminder show every often pinned simply know whether,1
1361_8,disabled feature entirely,1
1361_10,detect screen shot attempt programmatically display obscure watermark graphics,1
1361_15,like andros need phone level events like sums receivedsent event camera off event phone turned off event keypad lock event etc,1
1363_3,would like phone remote windows,1
1366_2,application installed way run application without user input,1
1368_1,specifically want ability selective enabling application features run serverside conversion,0
1369_1,newer hardware switch newer profile,0
1369_2,barring least allow merged listing versions customers clear upgrade path application,1
1370_1,could support native sdkdirect,1
1371_1,take previous two,0
1372_1,barring least allow merged listing versions customers clear upgrade path,1
1373_1,concept explains well blogpost wirt transitions creating fast fluid retro his,0
1374_1,using vodafone grm used data includes unicorn characters thus whole message failed,0
1374_2,could imagine way smsicon shown lockscreen mind app icon shown swell apes got modifications facebbok whatsapp,0
1375_1,add option delete future appointment calendar preserve previous used option repeat,1
1375_2,platform provide access call log create applications example retrieve unknown numbers call log find information public directors,1
1375_3,customized clock apes popular andros syrian hope could,1
1376_2,moment relation companies countries,0
1376_3,small business bigger one,0
1376_4,several decanters countries extra salesoffices countries,0
1376_5,time registration intends must use country,0
1380_14,descriptions also appear differently depending viewed web june device,0
1380_15,update description field document purpose forms read field appear marketplace,0
1380_16,please provide way predictable introduce newlands description fields let see fields render different environment wysiwyg show update description used updated app seem way control newlands application descriptions marketplace,0
1380_17,please provide way predictable introduce newlands description fields let see fields render different environment wysiwyg show update description used updated,1
1381_1,quicker way bottom retro screen view tons lined apes,0
1381_2,currently develop andros is,0
1381_3,interested developing windows phone would need device pay registration learn platform,0
1381_4,involves lot time large risk smaller development companies,0
1382_1,microsoft created incentive like free device blackberry free year membership amazon could drive lot developer platform crucial platform taking,1
1382_2,would jump opportunity adapt apes windows phone microsoft created incentive try platform,1
1383_1,can use keyboard landscape mode pp,0
1383_2,would finally able add customize alert text sounds,0
1383_5,course app would permission accepted user app would isolated storage private,0
1383_6,would nice see windows phone move optional vector based icons instead static bitmaps,1
1383_7,would allow application bar appear reside say screens added,0
1383_8,ideally users would need icons marketplace tile contains application name list icon app list,0
1383_9,appears could created resided needed,0
1383_10,know pain developer designer designer option would nice time save future,1
1386_2,would nice able delete cent unloaded,1
1391_1,like able decorate home screen pinning favorite photo directly within pictures application,1
1395_1,allow users organize times separate hubs,1
1395_3,secondary start hut use store occasionally used apes would good,1
1395_4,automatic hut recently used apes would also good,1
1398_1,please allow access phone filesystem,1
1399_1,would great benefit developer manipulate scar resources etc etc,1
1404_1,print functionality apple imprint,0
1404_2,make connection devices possible,0
1404_4,want give textbook slaveholder text,0
1404_5,requires creating custom control,0
1404_6,want available box,0
1404_7,want option create labels textbook,0
1404_8,provide access pictures photochooser camera roll emulation,1
1404_9,since easiest way get hold files used programs downloading network internet saving isolated storage would make whole thing lot easier could ftp,0
1404_10,ftp still one used protocol retrieving files,0
1404_11,using prove always option since would like able reach ftp serves separate network,0
1404_12,map idle push email son read forward answered mails plus son send older,0
1404_13,email business important,0
1404_14,guns girls years old need really big clock main display,0
1404_15,thanks sorry english,0
1405_1,petitioning curses almost impossible,0
1406_1,support used menu mb well,1
1407_1,removed retro interface looks good desktop app mobile phone horrible,0
1407_2,volume rang volume decrease,0
1407_4,continuing prior post allowing explicitly lip secondary live times tap instead launching app request would allow action explicitly update tile triggering function call background task,1
1408_1,perhaps two ideas combined define action take creatingupdating tile lip tile execute background task simply launch app like normal possibly deep toast,1
1408_2,would really make liveries live kind far biggest disappointment saw actual sd,0
1409_1,coming is see scraped two apes going release,0
1409_2,third scraped inability location cracking background task frequently every minutes sort stale data issue,0
1409_3,since userinitiated would drain,0
1409_4,schedule namesake ist possible access media library play songs user already device please add function get access media library,1
1411_1,another thing possibility modify ratification with shown alarm reminder rings,1
1413_1,need open application overwrite notify costume get better improvement user,0
1414_1,extend apt query phone volume vibration settings maybe even set,1
1418_1,please provide variation temples windowsphone controls,1
1419_2,however everybody physical device experiences emulation would great addition de tools resources,1
1419_3,would nice useful email messages grouped date contact grouped initial letter,1
1421_1,sharing audit video plain possibility share stuff already ended package,1
1421_3,perhaps could available toolkit codeplexcom,1
1422_1,needs alpha test mechanism available,1
1424_1,since beta test versions recently submitted waiting mortification days way work together,0
1424_2,boss developer development tools absolutely needs see progress development timely manner,0
1425_1,beta program terrified apes day might problem,0
1425_2,hardly unable beta test program since customers also need see app improvements timely manner,0
1426_1,need support special multitasking tasks like void,0
1426_2,cannot create good apes services without apt looks type client utf,0
1426_3,is already axis,0
1428_2,volume headphone phone rings listening song raise max volume,0
1429_1,multiselect june delete albums create playlist,0
1429_2,readwrite access email son settings could enable applications create custom son profile based weekdays time position etc,0
1429_3,implement soundwave toothless apt phone touch free retro,1
1429_4,microsoft coffin showed use audit via speaker microphone popular amputation detect gestures without touching screen,0
1429_5,want use phone games,0
1429_7,submission process publishers able check box apes made individuals older older,1
1429_8,flag feature marketplace app download verify age download,0
1429_9,add multiple accounts different types live goose facebook etc,0
1430_1,would nice allowed get basic information accounts,1
1431_1,example get list email accounts account report number unreal email,0
1431_2,think two ways improve beta program,0
1432_1,make apes available immediately,1
1433_1,developing is using testflight andros wait two hours beta code approved,0
1434_1,unload new version users download update immediately,0
1435_1,immediate approval possible apes published immediately available,1
1435_2,receive email saying beta application published users able download application links provided email,0
1435_3,users reporting day time app approved available download,0
1435_4,users receive strange marketplace error trying download application,0
1437_1,developing apes often useful beverage existing launched chooses tasks access certain data perform operation,0
1437_2,currently exposed systemlevel data operations,0
1438_1,would ideal allow apes expose certain bits data functionality apes provide complementary experience terms refuse information performing similar tasks,1
1438_2,imagine shopping apes able share set data wish list news apes able share list news needs,0
1440_1,imagine installed app best another app perform series complex calculations gather weather data,0
1440_2,would responsibility app decide exposes data functionality,0
1440_4,first alleviate security screening prompting user allow app access another apes taking features,1
1440_15,case better make video carefully leave good user experience potential clients,1
1440_16,convert video fly flash video features much smaller size popular formats video watched unhindered quick loading,1
1443_3,select fly output format,0
1443_4,requirements video bit rate uncover etc settings one one pour formats window,0
1443_5,everything finished click start button start video fly conversion process,0
1443_6,allowed review converting process slideshow,0
1443_7,computer owners installed flash plain web brother naturally fly of flash video acceptable popular video formats vi peg act,0
1443_8,convert video fly flash video features much smaller size,0
1443_9,allow backgroundaudioplayer play tracks medialibrary,1
1443_10,allow applications implement na mediaplayer class run background,1
1444_2,please add possibility add spell check service provide data system wide one existed,1
1444_3,want build times app use buttons give custom style,0
1445_1,ugly since everyone implements another way resulting odd ligaments bad text colours etc,0
1446_1,need simple standardized way create simple times function buttons,1
1446_2,beta testes test apes free,0
1446_3,would nice appease published marketplace could include list testes helped get app free instead buy,1
1448_1,androidios blackberry compatible apt,1
1449_1,would really nice gesture option with put everything side left handed people stroll could also see content,1
1449_2,visual studio new expression blend,0
1449_3,merge products together,1
1449_4,add open app marketplace app menu rate review install pin start,1
1449_5,look professional strolling upward end page downward top content page regardless material application stretched,0
1449_6,part effect whole operating system particularly belong application,0
1449_7,sometime stretched content page look professional,0
1449_10,need up broadcast search devices network,1
1449_17,exception thrown intercepted debugger edit continue permits change code right debugging make code continue,0
1451_2,allow music copyright accessible huge issue,1
1452_3,link sal efficient could include sal slight library,1
1454_1,impossible connect easily ftp network suggest include future sd,1
1455_1,want office hut open openoffice document,1
1456_4,currently dynamic data binding controls like listbox recommended,1
1459_1,cannot change phone search search goose another provider actually work,1
1460_6,fix being fix phone,1
1464_2,best unclear user pan room lose frame reference place trying show,0
1464_3,sometimes work around behaviour specifying search place trying indicate dependent upon search results,0
1465_1,search finds nothing get pin,0
1465_2,search finds something intended end pin pins far want,0
1466_3,possible tell task show pin pins specific point points would allow better user experience,1
1467_1,even could specify label pin would better nothing,1
1469_1,add option private lock photo moves songs calendar appointments,1
1470_1,exit button application software,1
1470_2,show used volume see much inclusive volume already used,1
1471_1,could unload car microsoft provide signed certificate via,1
1472_2,would nice choice vibration sound given tying,1
1473_1,pin settings airplane mode wife etc start screen,1
1476_3,allowing tested groups profile would allow efficient test set marketplace especially multiple products allowing group assigned app entered marketplace beta,1
1477_1,additional would great additional support enterprise developer target specific set clients opposed public masses marketplace,1
1477_2,first enterprise developer account could established cost say high enough deter hobbyists smaller companies unrolling time providing additional benefits larger enterpriselevel corporations,1
1479_2,ideally mind forefront splash page company product would help draw clients,1
1479_5,allowing tested groups profile would allow efficient test set marketplace especially,1
1479_6,pp shows sensitive data deativated would good able use different image fast app twitching instead screenshot application,1
1479_7,demon service unable per app basis way like periodic tasks,1
1481_2,microsoft advertise windows phone development axis visual studio,1
1481_4,please make instead fire event could used open apes search bar page,1
1485_3,least support displaying static if image,1
1485_10,back forward buttons needed capacities back button,1
1485_12,please consider enable support safe code silverlight na apes,1
1488_7,minimizing current main apes would better mild and marketplace,1
1490_1,create option allow periodic agents run even app opened days,1
1491_1,gives family four live accounts,0
1492_1,box log play games problem yet phone allows one user,0
1492_2,cannot even log another account check edit let alone play games,0
1492_3,certain rival brand phone allows users switch live equivalent accounts problems whatsoever,0
1492_4,bought phone gazing mind one game house please make possible several gamertags used one device,1
1498_7,keeping message draft existing would save haste type,1
1499_1,windows phone development using visualstudio like side includes phone development,1
1500_8,start expanding number apes use certain key word children stories new apes innate displace got first potentially happy apes,1
1500_9,secondly need limit number apes publisher submit particular key word,1
1504_1,way within app get notify whether user selected call call hesse ended call means ratification end call,1
1507_6,would useful specific service apes could released would extend features example adding goose option sharing interface,1
1509_1,would nice power point could method pictures hut navigation,1
1512_6,received map week email would great able emulation location data use me file format either via file importexport using files directly feed,1
1512_8,devices use format would great see supported windows phone,1
1514_3,use sip would great native sip client integrated,1
1514_11,also keyboard would nice,1
1514_16,want able add picture media library start sharepicturetask let user see share pictures hut,1
1515_2,remove apes limit phone app limit marketplace web site users search app search term,1
1515_6,add quick access block buttonfunction used receiving spasm chat,1
1515_8,would like see monthlyyearly subscription model introduced let charge users year app example,1
1515_10,really need assembly binding direction publisher policies windows phone,1
1519_3,would great could add pig support medialibrary save high quality pig files picture library,1
1519_5,able use simple compressed was files would open many possibilities ring tone editors make files recorded microphone ready used ringtones,1
1519_6,would great windows phone development team could allow use rest streaming protocol net compact framework use,1
1520_2,provide preference setting categories apes long list categories app store rather names alphabetical orderthis extremely helpful people lots apes provide ability maintain uniformity making user friendly,1
1520_3,provide liability live times start menuespecially one needs drag multiple times long list,0
1520_4,please get metequotes make metatrader windows phone,1
1520_5,need longer class log errorinfoverbose demon information,1
1521_1,available androidit improves debugging process,0
1521_3,displays certificate signer information could easily unload two certificates different cos service names issued single would way telling apart,0
1522_1,minimal show subject matches service name provide client code along signer,1
1523_1,ideally would allow download certificate purification least provide has unloaded certificate,0
1523_2,right unload supported certificate even selfsigned cent apphub provide feedback,0
1523_3,allow user able set custom reminder time hours hours calendar entry,1
1523_4,present provide fixed values like,0
1523_5,test club card app shows points clubcard bar code available phone scan checkout,0
1524_1,apes near able scan stores also shows points balance allows shop online collect near points,0
1525_2,would like button click select countries microsoft already accounts taxes,1
1530_1,support file transfer of files,1
1533_2,levy restrictions also heaped said user control order maintain performance sap battery life,1
1533_3,let live times live please,1
1533_4,alarm pips option edit reminder included instead constantly hit ooze exit reminder object,1
1536_1,need possibility set keyboard language code,1
1536_2,focus textbook opens keyboard german layout focus textbook opens keyboard greek layout,0
1536_3,desktop net problem windows forms inputlanguagecurrentinputlanguage inputlanguagefromculturenew systemglobalizationcultureinfoareg of exact need inputlanguagemanagersetinputlanguagetextbox new systemglobalizationcultureinfoenus inputlanguagemanagersetrestoreinputlanguagetextbox true tested works fine,0
1536_4,keyboard installed nothing changes current layout remain,0
1537_1,please implement important translation application,0
1538_1,suggest create hardware rating like ones windows we smartphone order help users developer match hardware apes games,1
1538_2,think rating even enable developer create different versions app pointing specific hardware,0
1538_3,would nice able use computer keyboard using emulation,1
1538_4,bit frustration type mouse,0
1538_5,cannot use important libraries background agent like microsoftdevicessensors limited power great good application,0
1538_6,currently pin album would useful pin single image tile way easy access,1
1538_8,school schedule bus route picture someone like,0
1538_9,current control clashes app uses silverlightxna horrid mode,0
1538_10,apparently never worked communicated des,0
1538_11,normally would say unacceptable given silverlightxna horrid new big thing issue needs immediate attention,0
1538_12,useful want add appointment timelocationnotes previous one,0
1538_13,currently press hold appointment calendar option edit delete,0
1538_14,either renter into change date old appointment ideal lose record old appointments,0
1538_16,local scout show results ability state radius current location business within radius shown could greatly exceed also searching company name small businessrestaurant would good could show within local results,1
1538_17,often try search restaurant result local instead find webster postpone,0
1538_18,would save haste make planning journeys much simpler,0
1539_1,allow app disabled text essaying review,1
1542_1,allow users link app people hut directly,1
1542_2,apt access contact information would useful immediately able click contact open related pp,1
1542_3,type twitter etc,0
1543_1,add full support regioninfo add possibility instanciate one two letter iso code,1
1543_2,use distal country name user language,0
1544_1,add option hide keyboard specially want copy long text keyboard takes around led space leaving tiny window work,1
1544_2,exactly title says,0
1544_3,please create test clubcard pp,1
1545_1,allow ability view sal certificates connections option install,1
1545_5,suggests add kind storage store gas roi,1
1545_6,addition storage may integration contact allow user geographical map contact,1
1548_1,port internet explorer mobile version soon ready get new features mobile phone build better webapps windows phone,1
1548_2,pus support fixed possitioned elements,1
1549_2,like times various colours start screen,1
1549_6,allow access raw data signal strength information allow creation indoor location petitioning using available wife bluetooth cellular network gas data available,1
1549_14,would nice app longed things happen phone,1
1549_15,would also great icon status bar indicates new eventsnotifications,1
1552_1,like ability application quick loaded righthand order lock keypad,1
1552_2,possible allow button overriding pressed locked screen process,1
1554_1,also want able set left power batterysaver kicks,1
1555_1,default setting way later prefer remaining turning,1
1555_4,it convenient developer without actual devices test apes mortification requirements everything could actually tested emulation,1
1556_1,please upgrade couture app microsoft corps retro instead directing mobile site,1
1558_5,expose songcollection class add remove song objects custom song collections,1
1558_7,allow backgorundaudioagent utilise na framework devices song library played manipulated background,1
1558_8,would also need provide conversion mechanism convert song audiotrack default file type bad,1
1558_9,relax restrictions around application running locked screen ardor background,1
1558_13,unless course predetermined songcollection songcollection limitedplaylist,0
1558_15,need ability build apes capable video editing,1
1559_1,please devgroup make axis enable developer build apes include ability video trimming editing saving video library,1
1559_2,needed build void application,0
1560_1,playing audit stream loudspeaker uncomfortable users,0
1560_2,sir samson omit running latest update,0
1560_3,charged phone key press becomes baggy hard,0
1562_1,allow applications define custom shades his,1
1563_1,allow sophisticated game graphics realize image processing,0
1563_2,also allow access uncover library hardware accelerated apes generate video,1
1564_1,also allow apes read existing video modify frames write back,0
1564_2,gas cracking apes,0
1566_1,andros app displays local wife connections channel number strength course name,0
1567_1,of one like,0
1567_2,currently detect control embedded june player currently playing,0
1567_3,cannot done party apes implementing background audit streaming like soundtracker etc,0
1567_4,hello thank site,0
1567_5,happy able scan barcodes search button would like use application,0
1571_4,design guideline law,1
1572_1,allow ugly interface stricter things like navigation general look feel even animation,1
1573_1,give developer good explanation wrong enforce good design,1
1573_2,something responsive allowed unless clear good reason,1
1573_3,apes take longer seconds start need explain would take longer,1
1573_4,make marketplace highest quality,1
1573_5,support well like rest world microsoft done many times developer starting look stupid years behind mobile market calmer pads lowered pus gates internet fad enough admit wrong early rather late much easier way,1
1573_6,biggest problem almost exclusively run working apes layout performance silverlight,0
1574_1,takes quite effort work around problem,0
1575_1,according web searches problem felt lone,0
1577_1,it great would work solution improve situation,0
1577_2,often come across word app might know want confirm meaning could look right without need exit another pp,1
1577_3,god enjoy platform ever make landscape like coming windows like original tile home screen,1
1578_1,address bar added calendar items give location appointmentmeeting,1
1578_2,address visible being maps showing location calendar item,1
1579_1,vice versa able schedule via being maps adding location maps linking calendar,1
1580_1,return back multitask support may optional significant improve advanced users experience,1
1580_3,current situation almost impossible create kind applications different traces survilence etc,0
1580_4,color picked control like one phone settings would really useful apes want offer user choice colors,1
1580_5,know code one one standard controls,0
1580_6,current mobile brother support keep correctly,0
1580_8,like show couture video pp,0
1581_2,would like control size petitioning playback video,1
1582_1,option change working buttons double click slight,1
1585_3,allow video camera control start stop recording touch screen instead camera button,1
1589_2,domo prototype category like exists andros would solve issue,1
1589_3,number contact added group restricted please remove cap,1
1589_4,already music streaming supported single songs,0
1589_5,would great add albums skydrive stream directly,1
1589_6,preferably albums would integrated music video hut similarly now skydrive pictures integrated pictures hut,1
1589_7,modifications exist pull shade iosandroid style,1
1589_8,pull shade take color theme chosen phone,1
